iter	RMSE
0	1.004813994
1	0.9862282676
2	0.9691222316
3	0.9529417552
4	0.9378175374
5	0.9242823438
6	0.9118096717
7	0.8994810023
8	0.8884814275
9	0.8785713074
10	0.8693623493
11	0.8605590643
12	0.8525172649
13	0.8454451289
14	0.8385055553
15	0.8320379062
16	0.8258706302
17	0.8200832947
18	0.8148660214
19	0.8105325128
20	0.80639259
21	0.80226667
22	0.7985226321
23	0.795267181
24	0.7923012741
25	0.7893664383
26	0.7866692726
27	0.7840648266
28	0.7816392804
29	0.7792856115
30	0.777409359
31	0.7753842348
32	0.7735424067
33	0.7718634404
34	0.7703588533
35	0.7688735749
36	0.767401895
37	0.7662249306
38	0.7650471848
39	0.763919321
40	0.7626755535
41	0.7615108957
42	0.7607235783
43	0.7596406271
44	0.7589438145
45	0.7579269072
46	0.757051639
47	0.7563574248
48	0.7555484472
49	0.7544816601
50	0.7537974353
51	0.7532674048
52	0.752916825
53	0.7523178676
54	0.7515986757
55	0.7511376413
56	0.7507352261
57	0.7503251063
58	0.7499053357
59	0.7494935767
60	0.7491385303
61	0.7486879598
62	0.7481845839
63	0.7477820093
64	0.7472317345
65	0.7468693695
66	0.7465165582
67	0.7462501623
68	0.7457768442
69	0.745338181
70	0.7449678887
71	0.7446375883
72	0.7441905267
73	0.7438759995
74	0.7434659224
75	0.7431914861
76	0.7429098877
77	0.7426957948
78	0.7424245759
79	0.7422857767
80	0.7420912749
81	0.7419569549
82	0.741777124
83	0.7415334136
84	0.7413314417
85	0.7411418853
86	0.7409192328
87	0.7407480454
88	0.7405496841
89	0.7403850015
90	0.740248345
91	0.7400410096
92	0.7398994925
93	0.7396389128
94	0.7394722405
95	0.7393171908
96	0.739075258
97	0.73886182
98	0.7386593757
99	0.7384896246
100	0.7382264134
101	0.7379319268
102	0.7377066317
103	0.7376463646
104	0.7374443377
105	0.7372883612
106	0.7370824055
107	0.736915803
108	0.7367467017
109	0.7366290618
110	0.7363475895
111	0.7361878976
112	0.7360563294
113	0.735930962
114	0.7356555356
115	0.7355521748
116	0.7354428674
117	0.7353653541
118	0.7352267308
119	0.7351060457
120	0.7349353577
121	0.7347410525
122	0.7346226869
123	0.7344814755
124	0.7343881764
125	0.7342112665
126	0.7340363273
127	0.7338620638
128	0.7337700852
129	0.733582471
130	0.7334648839
131	0.7332604662
132	0.7331337121
133	0.7328878063
134	0.7327709903
135	0.7325772704
136	0.7324632061
137	0.7323874095
138	0.7323318926
139	0.7319404575
140	0.7318403261
141	0.7316866329
142	0.7316220082
143	0.7315507873
144	0.7315304505
145	0.731383028
146	0.7312150873
147	0.7311355356
148	0.7309627167
149	0.7308786425
150	0.7307741311
151	0.7306509333
152	0.7304997421
153	0.7303752406
154	0.7302790802
155	0.7301725101
156	0.7300073381
157	0.7298981387
158	0.7297922716
159	0.7297602308
160	0.7296804713
161	0.7295055806
162	0.7293321662
163	0.7291960217
164	0.7290705092
165	0.7288523036
166	0.7288137137
167	0.7286522335
168	0.7285216463
169	0.7284129052
170	0.7282399338
171	0.7281083957
172	0.727883533
173	0.7278102846
174	0.7275785275
175	0.7275055566
176	0.7273957807
177	0.7272524331
178	0.727126938
179	0.7270288861
180	0.7267957743
181	0.7266993557
182	0.7265526883
183	0.7265024611
184	0.7263181547
185	0.7260643658
186	0.7258445551
187	0.7257502599
188	0.7257010149
