iter	Passed	Remaining
0	21	4330
1	46	4602
2	68	4472
3	91	4499
4	116	4553
5	140	4542
6	167	4615
7	191	4607
8	217	4622
9	245	4659
10	269	4637
11	295	4634
12	319	4600
13	336	4468
14	360	4442
15	382	4395
16	405	4363
17	427	4321
18	450	4287
19	473	4259
20	498	4252
21	524	4242
22	546	4207
23	570	4180
24	592	4148
25	616	4124
26	641	4113
27	666	4094
28	695	4101
29	725	4113
30	753	4105
31	779	4091
32	806	4081
33	831	4058
34	860	4058
35	885	4035
36	910	4010
37	933	3977
38	956	3948
39	982	3928
40	1006	3903
41	1034	3890
42	1058	3866
43	1084	3846
44	1108	3818
45	1131	3787
46	1155	3762
47	1178	3731
48	1200	3700
49	1224	3672
50	1245	3639
51	1269	3614
52	1295	3593
53	1322	3575
54	1345	3546
55	1368	3519
56	1393	3495
57	1417	3471
58	1442	3448
59	1466	3421
60	1488	3390
61	1510	3362
62	1533	3334
63	1565	3326
64	1589	3301
65	1613	3275
66	1635	3247
67	1658	3219
68	1682	3193
69	1704	3165
70	1728	3140
71	1753	3117
72	1777	3091
73	1800	3066
74	1827	3045
75	1851	3021
76	1875	2996
77	1899	2970
78	1923	2945
79	1946	2919
80	1972	2897
81	1995	2870
82	2018	2844
83	2042	2821
84	2065	2794
85	2090	2770
86	2114	2745
87	2137	2720
88	2159	2693
89	2182	2667
90	2205	2641
91	2229	2616
92	2251	2590
93	2274	2564
94	2296	2538
95	2322	2515
96	2346	2491
97	2376	2473
98	2403	2451
99	2430	2430
100	2458	2409
101	2483	2386
102	2507	2361
103	2530	2335
104	2554	2311
105	2580	2288
106	2604	2263
107	2631	2241
108	2655	2217
109	2678	2191
110	2701	2166
111	2726	2141
112	2752	2119
113	2780	2097
114	2806	2074
115	2832	2050
116	2858	2027
117	2884	2004
118	2913	1983
119	2936	1957
120	2961	1933
121	2987	1909
122	3010	1884
123	3034	1859
124	3056	1833
125	3082	1810
126	3106	1785
127	3130	1760
128	3155	1736
129	3179	1712
130	3202	1686
131	3224	1660
132	3248	1636
133	3270	1610
134	3293	1585
135	3317	1561
136	3341	1536
137	3365	1511
138	3389	1487
139	3415	1463
140	3444	1441
141	3470	1417
142	3495	1393
143	3520	1369
144	3542	1343
145	3568	1319
146	3591	1294
147	3615	1270
148	3639	1245
149	3665	1221
150	3697	1199
151	3722	1175
152	3748	1151
153	3771	1126
154	3795	1102
155	3819	1077
156	3846	1053
157	3871	1029
158	3896	1004
159	3922	980
160	3949	956
161	3978	933
162	4001	908
163	4022	883
164	4047	858
165	4073	834
166	4097	809
167	4121	785
168	4146	760
169	4168	735
170	4191	710
171	4218	686
172	4249	663
173	4277	639
174	4299	614
175	4321	589
176	4342	564
177	4375	540
178	4400	516
179	4421	491
180	4445	466
181	4468	441
182	4499	417
183	4524	393
184	4547	368
185	4577	344
186	4606	320
187	4631	295
188	4659	271
189	4684	246
190	4708	221
191	4733	197
192	4765	172
193	4793	148
194	4817	123
195	4841	98
196	4865	74
197	4888	49
198	4911	24
199	4936	0
